"X"	"Y"	"B07"	"B06"	"B05"	"B04"	"B03"	"B02"	"B01"
461981.000000	6977561.000000	98.026360	68.580261	16.947275	10.396694	12.506522	5.026362	5.000000
462011.000000	6977561.000000	98.348785	67.720314	16.302431	8.395182	11.011032	5.241463	5.000000
462041.000000	6977561.000000	100.563271	66.591980	14.387141	7.642922	10.084512	5.659348	6.000000
462071.000000	6977561.000000	96.363541	68.165138	24.728144	17.729879	16.526930	5.978976	6.000000
462101.000000	6977561.000000	100.739449	71.555550	22.401293	11.976494	13.826795	6.318696	7.000000
462131.000000	6977561.000000	100.586121	69.651855	19.570349	11.274331	13.062106	5.887168	6.000000
462161.000000	6977561.000000	102.318695	70.318695	17.000000	9.021390	11.169331	5.659348	6.000000
462191.000000	6977561.000000	102.860558	71.141319	18.526878	10.475284	12.462241	5.659348	6.000000
462221.000000	6977561.000000	100.997749	70.134895	19.340652	10.085645	11.980495	5.659348	6.000000
462251.000000	6977561.000000	99.469063	67.966957	17.560671	9.905513	11.924716	5.659348	6.000000
462281.000000	6977561.000000	100.388855	68.732399	17.958681	9.437388	11.920573	5.659348	6.000000
462311.000000	6977561.000000	100.917267	69.105827	18.294384	9.972737	12.272393	5.659348	6.000000
462341.000000	6977561.000000	100.318695	68.326012	17.780216	9.414048	11.780217	5.659348	6.000000
462371.000000	6977561.000000	98.820541	67.325676	17.273798	9.066811	11.171364	5.905721	6.000000
462401.000000	6977561.000000	98.546204	67.472176	19.330511	10.588593	12.159575	6.000000	6.000000
462431.000000	6977561.000000	96.293396	68.603912	25.409178	12.803986	13.391663	9.571810	10.000000
461531.000000	6977591.000000	94.467690	75.170204	42.238243	29.536991	23.554241	7.000000	7.000000
461561.000000	6977591.000000	95.909706	66.895508	18.317520	8.071826	11.301459	7.000000	7.000000
461591.000000	6977591.000000	94.841537	66.456367	18.537514	10.058103	12.768556	5.085329	5.000000
461621.000000	6977591.000000	94.033440	65.547699	17.918613	9.503059	11.845535	5.000000	5.000000
461651.000000	6977591.000000	93.652000	65.259750	18.028521	8.792006	11.584835	5.000000	5.000000
461681.000000	6977591.000000	93.466187	65.389908	18.316820	10.097491	12.384585	5.000000	5.000000
461711.000000	6977591.000000	92.587349	66.468376	20.781643	12.293909	13.487388	5.000000	5.000000
461741.000000	6977591.000000	93.548492	66.292740	19.521069	10.110783	12.125617	5.000000	5.000000
461771.000000	6977591.000000	94.253227	66.297585	18.399469	10.077301	12.300858	5.000000	5.000000
461801.000000	6977591.000000	94.566170	66.344215	18.404476	9.144576	11.808354	5.000000	5.000000
461831.000000	6977591.000000	94.120461	66.879539	20.248713	11.390578	13.099884	5.000000	5.000000
461861.000000	6977591.000000	94.513412	66.279816	19.321692	10.287291	12.192255	5.000000	5.000000
461891.000000	6977591.000000	94.507286	64.534744	17.223267	8.687457	11.343728	5.000000	5.000000
461921.000000	6977591.000000	99.136551	65.319084	14.677361	7.040372	10.185829	5.000000	5.000000
461951.000000	6977591.000000	99.587555	66.029930	14.909467	7.019519	10.203546	5.000000	5.000000
461981.000000	6977591.000000	98.851021	66.659348	14.928792	6.985895	10.269444	5.000000	5.000000
462011.000000	6977591.000000	99.128113	66.451622	14.721066	6.907458	10.099668	5.000000	5.000000
462041.000000	6977591.000000	102.118881	66.120415	13.397314	6.481251	9.756115	5.000000	5.000000
462071.000000	6977591.000000	102.922226	68.462502	15.298377	6.969526	10.484763	5.000000	5.000000
462101.000000	6977591.000000	102.725677	69.371834	16.603455	8.445709	11.445709	5.000000	5.000000
462131.000000	6977591.000000	100.272316	68.203499	17.212891	8.818863	11.615441	5.000000	5.000000
462161.000000	6977591.000000	101.000000	68.389908	17.000000	8.947685	11.450118	5.000000	5.000000
462191.000000	6977591.000000	101.034325	69.467506	18.697680	10.323810	12.441932	5.000000	5.000000
462221.000000	6977591.000000	99.299736	69.986237	19.221741	10.402439	12.368498	5.000000	5.000000
462251.000000	6977591.000000	99.442963	68.501823	19.058895	10.167371	12.168105	5.000000	5.000000
462281.000000	6977591.000000	98.275391	68.573143	19.334030	11.037282	12.571863	5.000000	5.000000
462311.000000	6977591.000000	98.183868	68.174080	18.851017	10.936271	12.611464	5.000000	5.000000
462341.000000	6977591.000000	98.229286	67.666664	18.770710	10.316916	12.080307	5.000000	5.000000
462371.000000	6977591.000000	96.923164	67.186638	18.728632	10.576102	11.948757	5.723238	6.000000
462401.000000	6977591.000000	95.946686	68.231964	22.066675	13.834713	13.870552	6.000000	6.000000
462431.000000	6977591.000000	94.513916	71.462959	31.692226	19.957422	17.146225	9.571810	10.000000
461531.000000	6977621.000000	92.303642	74.382835	38.294147	26.868763	22.370893	7.000000	7.000000
461561.000000	6977621.000000	94.057068	65.285942	18.030781	8.429773	11.498602	7.000000	7.000000
461591.000000	6977621.000000	96.091309	66.382530	17.223101	8.373276	11.353732	5.085329	5.000000
461621.000000	6977621.000000	96.631989	66.128700	16.813536	8.197990	10.940584	5.000000	5.000000
461651.000000	6977621.000000	96.493767	66.000000	16.000000	7.483046	11.000000	5.000000	5.000000
461681.000000	6977621.000000	95.723969	66.000000	16.587376	10.011189	12.508842	5.000000	5.000000
461711.000000	6977621.000000	95.188110	65.663780	17.139454	9.753097	11.842318	5.000000	5.000000
461741.000000	6977621.000000	97.031792	65.510368	15.217342	7.000000	10.466477	5.000000	5.000000
461771.000000	6977621.000000	96.601418	65.809090	15.908948	8.150001	11.000000	5.000000	5.000000
461801.000000	6977621.000000	96.843140	65.523140	15.680545	7.654989	10.973904	5.000000	5.000000
